                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                  2.339,                 2.3718,                 1.7145,                0.25799,                0.24896,                0.21239,                0.07797,                 2.4849,                 2.4787,                 1.7401,               0.002278,               0.002278,               0.002278
                     81,                 2.3385,                 2.3555,                 1.7179,                0.26156,                0.25043,                 0.2141,                0.07884,                 2.4821,                 2.4741,                 1.7384,               0.002179,               0.002179,               0.002179
                     82,                 2.3407,                 2.3525,                 1.7136,                0.26033,                0.25297,                 0.2148,                0.07915,                 2.4802,                 2.4692,                  1.737,                0.00208,                0.00208,                0.00208
                     83,                  2.331,                  2.354,                 1.7114,                 0.2523,                0.25074,                0.21559,                 0.0792,                 2.4799,                 2.4657,                 1.7359,               0.001981,               0.001981,               0.001981
                     84,                  2.326,                 2.3439,                 1.7089,                0.25084,                0.25429,                0.21636,                0.07988,                 2.4779,                 2.4622,                 1.7347,               0.001882,               0.001882,               0.001882
                     85,                 2.3303,                 2.3428,                 1.7039,                0.25407,                0.25101,                0.21657,                0.07984,                 2.4768,                 2.4589,                 1.7337,               0.001783,               0.001783,               0.001783
                     86,                 2.3288,                 2.3312,                 1.7059,                0.25445,                0.25281,                0.21737,                0.07999,                 2.4752,                 2.4561,                 1.7323,               0.001684,               0.001684,               0.001684
                     87,                 2.3208,                 2.3319,                 1.7009,                0.25452,                0.25188,                 0.2179,                0.08001,                 2.4747,                 2.4524,                 1.7314,               0.001585,               0.001585,               0.001585
                     88,                 2.3276,                 2.3192,                 1.6949,                0.25846,                0.25334,                0.21897,                0.08022,                 2.4739,                 2.4486,                 1.7304,               0.001486,               0.001486,               0.001486
                     89,                 2.3236,                 2.3289,                 1.7041,                0.26173,                0.25609,                0.22023,                0.08047,                 2.4725,                 2.4456,                 1.7292,               0.001387,               0.001387,               0.001387
                     90,                 2.3163,                 2.3047,                 1.6952,                0.26502,                0.25724,                0.22115,                0.08088,                  2.471,                  2.443,                 1.7283,               0.001288,               0.001288,               0.001288
                     91,                 2.3124,                 2.2833,                  1.771,                0.26571,                0.25857,                0.22181,                  0.081,                 2.4695,                 2.4401,                 1.7274,               0.001189,               0.001189,               0.001189
                     92,                 2.3038,                 2.2679,                 1.7613,                0.26617,                 0.2586,                0.22154,                0.08156,                 2.4682,                 2.4353,                 1.7264,                0.00109,                0.00109,                0.00109
                     93,                 2.2974,                 2.2573,                   1.76,                 0.2687,                0.25887,                0.22257,                0.08182,                 2.4671,                 2.4317,                 1.7254,               0.000991,               0.000991,               0.000991
                     94,                 2.2924,                 2.2494,                 1.7608,                  0.275,                0.26108,                0.22253,                0.08232,                 2.4662,                 2.4277,                 1.7246,               0.000892,               0.000892,               0.000892
                     95,                 2.2888,                   2.24,                 1.7576,                0.27232,                0.26237,                0.22278,                0.08267,                 2.4649,                 2.4248,                 1.7232,               0.000793,               0.000793,               0.000793
                     96,                 2.2896,                 2.2306,                 1.7538,                0.27659,                0.26143,                0.22383,                0.08311,                 2.4637,                  2.421,                 1.7223,               0.000694,               0.000694,               0.000694
                     97,                 2.2805,                  2.221,                 1.7577,                0.27885,                 0.2602,                0.22428,                0.08323,                 2.4625,                 2.4171,                 1.7218,               0.000595,               0.000595,               0.000595
                     98,                 2.2774,                 2.2145,                 1.7446,                0.27505,                0.26248,                0.22446,                0.08331,                 2.4617,                 2.4144,                 1.7205,               0.000496,               0.000496,               0.000496
                     99,                 2.2756,                 2.2087,                   1.74,                0.27536,                0.26175,                0.22491,                0.08353,                   2.46,                 2.4106,                 1.7195,               0.000397,               0.000397,               0.000397
                    100,                 2.2718,                 2.2019,                  1.743,                0.27737,                0.26454,                0.22535,                0.08372,                 2.4592,                 2.4075,                 1.7189,               0.000298,               0.000298,               0.000298
